Source,Target,Timestamp
7028,1925,2013
72,7029,2015
72,1925,2015
7029,1925,2015
73,3802,2013
73,7030,2013
3802,7030,2013
74,2578,2021
74,3131,2021
74,3566,2021
74,12290,2021
2578,3131,2021
2578,3566,2021
2578,12290,2021
3131,3566,2021
3131,12290,2021
3566,12290,2021
75,681,2022
75,7031,2022
75,10013,2022
75,1399,2022
75,3197,2022
75,3358,2022
681,7031,2022
681,10013,2022
681,1399,2022
681,3197,2022
681,3358,2022
7031,10013,2022
7031,1399,2022
7031,3197,2022
7031,3358,2022
10013,1399,2022
10013,3197,2022
10013,3358,2022
1399,3197,2022
1399,3358,2022
3197,3358,2022
76,3803,2007
76,2361,2007
76,1364,2007
76,12291,2007
3803,2361,2007
3803,1364,2007
3803,12291,2007
2361,1364,2007
2361,12291,2007
1364,12291,2007
76,3804,2017
76,1366,2017
76,12292,2017
3804,1366,2017
3804,12292,2017
1366,12292,2017
76,3588,2006
76,6284,2006
76,2014,2006
76,12293,2006
76,13693,2006
3588,6284,2006
3588,2014,2006
3588,12293,2006
3588,13693,2006
6284,2014,2006
6284,12293,2006
6284,13693,2006
2014,12293,2006
2014,13693,2006
12293,13693,2006
77,3805,2011
77,7032,2011
3805,7032,2011
78,306,2021
78,924,2021
78,4353,2021
78,2284,2021
306,924,2021
306,4353,2021
306,2284,2021
924,4353,2021
924,2284,2021
4353,2284,2021
79,39,2007
79,7033,2007
39,7033,2007
80,3806,2015
80,7034,2015
80,10014,2015
80,4453,2015
3806,7034,2015
3806,10014,2015
3806,4453,2015
7034,10014,2015
7034,4453,2015
10014,4453,2015
81,3807,2023
81,1831,2023
81,9280,2023
81,8211,2023
81,13694,2023
3807,1831,2023
3807,9280,2023
3807,8211,2023
3807,13694,2023
1831,9280,2023
1831,8211,2023
1831,13694,2023
9280,8211,2023
9280,13694,2023
8211,13694,2023
82,3808,2020
82,7035,2020
3808,7035,2020
82,308,2007
82,78,2007
82,1917,2007
82,12294,2007
308,78,2007
308,1917,2007
308,12294,2007
78,1917,2007
78,12294,2007
1917,12294,2007
82,308,2015
82,7036,2015
82,1697,2015
308,7036,2015
308,1697,2015
7036,1697,2015
82,308,2007
82,308,2004
82,8414,2004
82,1113,2004
82,3571,2004
308,8414,2004
308,1113,2004
308,3571,2004
8414,1113,2004
8414,3571,2004
1113,3571,2004
82,1120,2019
82,1119,2019
82,2985,2019
82,13695,2019
1120,1119,2019
1120,2985,2019
1120,13695,2019
1119,2985,2019
1119,13695,2019
2985,13695,2019
82,3809,2008
82,7037,2008
82,5404,2008
82,12295,2008
82,13696,2008
3809,7037,2008
3809,5404,2008
3809,12295,2008
3809,13696,2008
7037,5404,2008
7037,12295,2008
7037,13696,2008
5404,12295,2008
5404,13696,2008
12295,13696,2008
82,3810,2010
82,3734,2010
3810,3734,2010
82,3811,2005
82,7038,2005
3811,7038,2005
82,5199,2019
82,2373,2019
82,2985,2019
82,13697,2019
5199,2373,2019
5199,2985,2019
5199,13697,2019
2373,2985,2019
2373,13697,2019
2985,13697,2019
82,3812,2017
82,3813,2023
82,3571,2023
82,10015,2023
82,12296,2023
82,13698,2023
3813,3571,2023
3813,10015,2023
3813,12296,2023
3813,13698,2023
3571,10015,2023
3571,12296,2023
3571,13698,2023
10015,12296,2023
10015,13698,2023
12296,13698,2023
82,3814,2016
82,3197,2016
82,3361,2016
3814,3197,2016
3814,3361,2016
3197,3361,2016
82,3815,2009
82,7039,2009
3815,7039,2009
82,2925,2013
82,308,2013
82,1127,2013
82,12297,2013
2925,308,2013
2925,1127,2013
2925,12297,2013
308,1127,2013
308,12297,2013
1127,12297,2013
82,2985,2008
82,1697,2008
82,10016,2008
2985,1697,2008
2985,10016,2008
1697,10016,2008
82,2985,2007
82,7040,2007
82,10017,2007
2985,7040,2007
2985,10017,2007
7040,10017,2007
82,3816,2013
82,7041,2013
3816,7041,2013
82,3817,2006
82,784,2006
3817,784,2006
83,3012,2018
83,2546,2018
3012,2546,2018
84,3818,2023
84,3131,2023
3818,3131,2023
84,3819,2020
84,1070,2020
84,7848,2020
84,4892,2020
3819,1070,2020
3819,7848,2020
3819,4892,2020
1070,7848,2020
1070,4892,2020
7848,4892,2020
84,3820,2016
84,10018,2016
84,12298,2016
84,13699,2016
3820,10018,2016
3820,12298,2016
3820,13699,2016
10018,12298,2016
10018,13699,2016
12298,13699,2016
84,3821,2021
84,3334,2021
84,10019,2021
84,12299,2021
3821,3334,2021
3821,10019,2021
3821,12299,2021
3334,10019,2021
3334,12299,2021
10019,12299,2021
84,723,2011
84,1869,2011
723,1869,2011
84,1070,2020
84,1547,2020
84,2415,2020
84,12300,2020
1070,1547,2020
1070,2415,2020
1070,12300,2020
1547,2415,2020
1547,12300,2020
2415,12300,2020
84,3822,2018
84,4412,2018
84,2361,2018
84,2578,2018
3822,4412,2018
3822,2361,2018
3822,2578,2018
4412,2361,2018
4412,2578,2018
2361,2578,2018
84,1787,2019
84,4801,2019
84,3379,2019
1787,4801,2019
1787,3379,2019
4801,3379,2019
84,3181,2012
84,11,2012
84,1127,2012
84,2070,2012
3181,11,2012
3181,1127,2012
3181,2070,2012
11,1127,2012
11,2070,2012
1127,2070,2012
85,3823,2007
85,1399,2007
85,11,2007
85,12301,2007
85,3429,2007
3823,1399,2007
3823,11,2007
3823,12301,2007
3823,3429,2007
1399,11,2007
1399,12301,2007
1399,3429,2007
11,12301,2007
11,3429,2007
12301,3429,2007
86,3824,2006
86,2477,2006
86,10020,2006
3824,2477,2006
3824,10020,2006
2477,10020,2006
86,3825,2012
87,7042,2016
87,10021,2016
7042,10021,2016
88,3826,2007
88,7043,2007
3826,7043,2007
89,306,2023
89,7044,2023
89,10022,2023
89,3045,2023
306,7044,2023
306,10022,2023
306,3045,2023
7044,10022,2023
7044,3045,2023
10022,3045,2023
89,1430,2021
89,1788,2021
89,10023,2021
1430,1788,2021
1430,10023,2021
1788,10023,2021
89,1565,2013
89,2777,2013
89,3012,2013
89,3306,2013
1565,2777,2013
1565,3012,2013
1565,3306,2013
2777,3012,2013
2777,3306,2013
3012,3306,2013
90,7045,2015
91,7046,2020
91,10020,2020
7046,10020,2020
92,1399,2014
92,2514,2014
92,3465,2014
1399,2514,2014
1399,3465,2014
2514,3465,2014
93,3827,2010
93,2089,2010
3827,2089,2010
94,1602,2018
94,7047,2018
94,10024,2018
1602,7047,2018
1602,10024,2018
7047,10024,2018
95,1763,2019
95,7048,2019
95,3171,2019
1763,7048,2019
1763,3171,2019
7048,3171,2019
96,886,2019
96,814,2019
96,578,2019
886,814,2019
886,578,2019
814,578,2019
97,2080,2014
97,3828,2020
97,4671,2020
97,3154,2020
3828,4671,2020
3828,3154,2020
4671,3154,2020
98,3829,2019
98,7049,2019
98,10025,2019
98,7910,2019
3829,7049,2019
3829,10025,2019
3829,7910,2019
7049,10025,2019
7049,7910,2019
10025,7910,2019
99,3830,2005
99,7050,2005
99,2472,2005
99,4960,2005
99,5244,2005
99,14208,2005
3830,7050,2005
3830,2472,2005
3830,4960,2005
3830,5244,2005
3830,14208,2005
7050,2472,2005
7050,4960,2005
7050,5244,2005
7050,14208,2005
2472,4960,2005
2472,5244,2005
2472,14208,2005
4960,5244,2005
4960,14208,2005
5244,14208,2005
99,119,2019
99,1145,2019
99,1787,2019
99,2670,2019
119,1145,2019
119,1787,2019
119,2670,2019
1145,1787,2019
1145,2670,2019
1787,2670,2019
99,132,2023
99,411,2023
99,1725,2023
99,1727,2023
99,2186,2023
132,411,2023
132,1725,2023
132,1727,2023
132,2186,2023
411,1725,2023
411,1727,2023
411,2186,2023
1725,1727,2023
1725,2186,2023
1727,2186,2023
99,199,2017
99,7051,2017
99,920,2017
199,7051,2017
199,920,2017
7051,920,2017
99,229,2020
99,5164,2020
99,657,2020
99,661,2020
229,5164,2020
229,657,2020
229,661,2020
5164,657,2020
5164,661,2020
657,661,2020
99,269,2018
99,381,2018
99,578,2018
99,723,2018
99,1221,2018
99,5390,2018
269,381,2018
269,578,2018
269,723,2018
269,1221,2018
269,5390,2018
381,578,2018
381,723,2018
381,1221,2018
381,5390,2018
578,723,2018
578,1221,2018
578,5390,2018
723,1221,2018
723,5390,2018
1221,5390,2018
99,286,2017
99,1314,2017
99,10026,2017
99,5778,2017
99,2880,2017
286,1314,2017
286,10026,2017
286,5778,2017
286,2880,2017
1314,10026,2017
1314,5778,2017
1314,2880,2017
10026,5778,2017
10026,2880,2017
5778,2880,2017
99,304,2018
99,1565,2018
99,2468,2018
99,10038,2018
304,1565,2018
304,2468,2018
304,10038,2018
1565,2468,2018
1565,10038,2018
2468,10038,2018
99,3831,2020
99,479,2020
99,723,2020
99,12302,2020
99,12537,2020
99,1697,2020
99,1787,2020
3831,479,2020
3831,723,2020
