Date,Open,High,Low,Close,Volume
5.12.1927,122.089,122.216,122.089,122.092,403
6.12.1927,122.092,122.184,122.084,122.168,416
7.12.1927,122.169,122.200,122.047,122.048,314
8.12.1927,122.049,122.210,122.049,122.192,582
9.12.1927,122.195,122.370,122.166,122.340,833
10.12.1927,122.336,122.351,122.257,122.280,876
11.12.1927,122.280,122.377,122.246,122.246,761
12.12.1927,122.247,122.306,122.247,122.260,529
13.12.1927,122.260,122.262,122.078,122.079,477
14.12.1927,122.079,122.216,122.058,122.201,380
15.12.1927,122.201,122.268,122.193,122.264,425
16.12.1927,122.264,122.273,122.171,122.233,417
17.12.1927,122.233,122.297,122.228,122.275,369
18.12.1927,122.275,122.352,122.272,122.328,599
19.12.1927,122.328,122.339,122.303,122.323,537
20.12.1927,122.323,122.357,122.297,122.301,639
21.12.1927,122.301,122.364,122.292,122.341,648
22.12.1927,122.346,122.378,122.310,122.345,856
23.12.1927,122.345,122.398,122.324,122.350,829
24.12.1927,122.351,122.479,122.343,122.440,954
25.12.1927,122.440,122.542,122.387,122.459,892
26.12.1927,122.457,122.539,122.425,122.514,910
27.12.1927,122.514,122.559,122.429,122.440,525
28.12.1927,122.439,122.610,122.405,122.578,892
29.12.1927,122.577,122.606,122.545,122.589,671
30.12.1927,122.587,122.683,122.582,122.631,576
31.12.1927,122.631,122.726,122.564,122.629,662
1.01.1928,122.631,122.678,122.562,122.640,644
2.01.1928,122.641,122.673,122.524,122.586,855
3.01.1928,122.588,122.588,122.451,122.467,352
4.01.1928,122.469,122.502,122.430,122.496,356
5.01.1928,122.499,122.566,122.499,122.564,302
6.01.1928,122.564,122.579,122.450,122.479,316
7.01.1928,122.478,122.560,122.478,122.550,302
8.01.1928,122.549,122.602,122.542,122.542,196
9.01.1928,122.541,122.547,122.361,122.368,259
10.01.1928,122.368,122.395,122.353,122.380,269
11.01.1928,122.380,122.413,122.316,122.320,217
12.01.1928,122.320,122.442,122.320,122.382,171
13.01.1928,122.382,122.563,122.382,122.554,262
14.01.1928,122.557,122.734,122.542,122.674,279
15.01.1928,122.674,122.681,122.425,122.553,24
